관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
서울특별시 영등포구,"당산로 123,영등포구청역 3번출구 근처 대로변앞",당산동3가 385-1,교통단속,3,,360도 전방면,30,Jan-13,02-2670-4067,37.52630344,126.8966439,2020-05-06
서울특별시 영등포구,"당산로31길 13,사거리앞",당산동3가 385-1,교통단속,5,,360도 전방면,30,Sep-13,02-2670-4067,37.52664965,126.8954267,2020-05-06
서울특별시 영등포구,당산로 134,당산동3가 217,교통단속,3,,360도 전방면,30,Sep-13,02-2670-4067,37.5265129,126.8969805,2020-05-06
서울특별시 영등포구,당산로 116,당산동3가 264,교통단속,4,,360도 전방면,30,Sep-13,02-2670-4067,37.52497621,126.8965966,2020-05-06
서울특별시 영등포구,당산로92,당산동1가 455-1,교통단속,4,,360도 전방면,30,Sep-13,02-2670-4067,37.5231272,126.8961117,2020-05-06
서울특별시 영등포구,양산로 153,당산동3가 6-1,교통단속,3,,360도 전방면,30,Jan-06,02-2670-4067,37.52349265,126.9000972,2020-05-06
서울특별시 영등포구,양산로 131,당산동1가 306,교통단속,7,,360도 전방면,30,Jun-17,02-2670-4067,37.52387196,126.8975907,2020-05-06
서울특별시 영등포구,국회대로 584,당산동3가 96,교통단속,3,,360도 전방면,30,Nov-11,02-2670-4067,37.52717496,126.8987323,2020-05-06
서울특별시 영등포구,선유동1로 42,당산동3가 555-2,교통단속,5,,360도 전방면,30,Nov-11,02-2670-4067,37.52556027,126.8922431,2020-05-06
서울특별시 영등포구,당산동5가 4-23 꽃담소공원1,당산동5가 4-23,생활방범,1,,360도 전방면,30,Dec-13,02-2670-4067,37.53172466,126.900582,2020-05-06
서울특별시 영등포구,당산동5가 4-23 꽃담소공원2,당산동5가 4-23,생활방범,1,,360도 전방면,30,Aug-16,02-2670-4067,37.5310346,126.8999738,2020-05-06
서울특별시 영등포구,당산동6가 10-7 강마을어린이공원1,당산2동6가10-7,생활방범,1,,360도 전방면,30,Jun-17,02-2670-4067,37.53283596,126.9068983,2020-05-06
서울특별시 영등포구,"버드나루로 104,근처 나루마을마당공원",당산동 121-144,생활방범,1,,360도 전방면,30,Nov-16,02-2670-4067,37.52778231,126.9085184,2020-05-06
서울특별시 영등포구,당산동4가 10-2,당산동4가 10-2,생활방범,3,,360도 전방면,30,Sep-11,02-2670-4067,37.52879842,126.9038174,2020-05-06
서울특별시 영등포구,당산로40길 4-3,당산동4가 32-165,쓰레기단속,1,,360도 전방면,30,Nov-10,02-2670-4067,37.52978214,126.899251,2020-05-06
서울특별시 영등포구,"당산로 164-8,삼거리앞",당산2동 4가 32-76,생활방범,1,,360도 전방면,30,Nov-10,02-2670-4067,37.52852161,126.899077,2020-05-06
서울특별시 영등포구,"버드나루로19길 8,삼거리앞",당산2동 121-18(포동이분식건너편),생활방범,3,,360도 전방면,30,Nov-10,02-2670-4067,37.52847076,126.9072253,2020-05-06
서울특별시 영등포구,"버드나루로14가길 24,대한결핵협회건물 뒷길 삼거리앞",당산2동 121-150(대한결핵협회),생활방범,3,,360도 전방면,30,Nov-10,02-2670-4067,37.52786345,126.9096254,2020-05-06
서울특별시 영등포구,"국회대로37길 25,삼거리앞",당산2동 4가 32-184 로열마트앞,생활방범,3,,360도 전방면,30,Nov-10,02-2670-4067,37.52911545,126.9007919,2020-05-06
서울특별시 영등포구,"국회대로29길 10,사거리앞",당산2동 4가 37-4 늘좋은마트앞,생활방범,3,,360도 전방면,30,Nov-10,02-2670-4067,37.52902927,126.8968331,2020-05-06
서울특별시 영등포구,"당산로41길 18,사거리앞",당산2동 4가 85 별님유치원앞,생활방범,7,,360도 전방면,30,Nov-10,02-2670-4067,37.53175111,126.8976553,2020-05-06
서울특별시 영등포구,"영신로 259,당산삼성래미안 423동~상아APT 4동 사잇길",당산2동 5가 42 삼성래미안 423동앞,생활방범,2,,360도 전방면,30,Nov-10,02-2670-4067,37.53072944,126.9034627,2020-05-06
서울특별시 영등포구,"당산로50가길 3-17,당산중학교 입구앞",당산2동 6가 10-7 당산중학교앞,생활방범,4,,360도 전방면,30,Nov-10,02-2670-4067,37.53258522,126.9065928,2020-05-06
서울특별시 영등포구,"당산로50길 7-3,한강공원지하입구 사거리앞",당산2동 6가 184 낚시백화점 슈퍼앞,생활방범,5,,360도 전방면,30,Nov-10,02-2670-4067,37.53506132,126.9040705,2020-05-06
서울특별시 영등포구,"당산로46길 26,사거리앞",당산2동 6가 110-43 당산중학교앞,생활방범,7,,360도 전방면,30,Nov-10,02-2670-4067,37.53301543,126.9049891,2020-05-06
서울특별시 영등포구,"당산로48길 2,당산역 6번 출입구앞",당산2동 6가 235 2호선 6번출구,생활방범,3,,360도 전방면,30,Jan-13,02-2670-4067,37.53397431,126.9024539,2020-05-06
서울특별시 영등포구,"당산로49길 5,사거리앞",당산2동 6가 334-1 훼미리마트 맞은편,생활방범,4,,360도 전방면,30,Jun-12,02-2670-4067,37.53557374,126.9023043,2020-05-06
서울특별시 영등포구,당산로40길 4-8,당산동 4가 32-51번지(당산로40길4-8),생활방범,1,,360도 전방면,30,Jan-14,02-2670-4067,37.52960506,126.8991103,2020-05-06
서울특별시 영등포구,"당산로38길 12-1,사거리앞",당산2동 4가 32-14번지 전봇대 앞(당산로38길 13),생활방범,1,,360도 전방면,30,Sep-15,02-2670-4067,37.52865636,126.8996707,2020-05-06
서울특별시 영등포구,당산로50길 17,당산동6가 104-61,생활방범,3,,360도 전방면,30,Sep-16,02-2670-4067,37.53407747,126.9044005,2020-05-06
서울특별시 영등포구,"당산로50가길 3-1,사거리앞","당산동6가3-1(영광교회 주차장, 우리슈퍼)",생활방범,3,,360도 전방면,30,Sep-16,02-2670-4067,37.5327806,126.9055083,2020-05-06
서울특별시 영등포구,당산로46가길 6,당산동6가 237-13,생활방범,7,,360도 전방면,30,Sep-16,02-2670-4067,37.53381003,126.9038771,2020-05-06
서울특별시 영등포구,당산로48길 12,당산동6가 280-1,생활방범,4,,360도 전방면,30,Oct-16,02-2670-4067,37.53477555,126.9035798,2020-05-06
서울특별시 영등포구,당산로52길 22,당산동6가 107-1,생활방범,2,,360도 전방면,30,Feb-17,02-2670-4067,37.53439944,126.9050699,2020-05-06
서울특별시 영등포구,"버드나루로 130,강변래미안APT 311동 근처 삼거리앞",당산동 376,생활방범,3,,360도 전방면,30,Aug-17,02-2670-4067,37.52899475,126.9091558,2020-05-06
서울특별시 영등포구,"당산로36길 7-1,당산삼성2차APT 출입구앞",당산동4가 32-143,생활방범,2,,360도 전방면,30,Aug-17,02-2670-4067,37.52810955,126.89866,2020-05-06
서울특별시 영등포구,당산로46길 29-6,당산동6가 110-92,생활방범,6,,360도 전방면,30,Nov-17,02-2670-4067,37.53328881,126.9056931,2020-05-06
서울특별시 영등포구,당산로 247-1,당산동6가 321,생활방범,2,,360도 전방면,30,Aug-18,02-2670-4067,37.53571474,126.9030814,2020-05-06
서울특별시 영등포구,당산로 167,당산동4가 74-3,생활방범,4,,360도 전방면,30,Aug-18,02-2670-4067,37.52938928,126.8981796,2020-05-06
서울특별시 영등포구,당산로48길 6 전신주 옆,당산동6가 237-38,생활방범,4,,360도 전방면,30,Oct-18,02-2670-4067,37.53431363,126.9027899,2020-05-06
서울특별시 영등포구,국회대로55길 9 영등포 평생학습관 주차장입구,당산동 121-32,생활방범,4,,360도 전방면,30,Oct-18,02-2670-4067,37.52614971,126.9081326,2020-05-06
서울특별시 영등포구,국회대로53길 30,당산동 171-19,생활방범,4,,360도 전방면,30,Oct-18,02-2670-4067,37.52797238,126.9064209,2020-05-06
서울특별시 영등포구,당산로54길 30,당산동6가 110-88,생활방범,3,,360도 전방면,30,Oct-18,02-2670-4067,37.53369683,126.9059262,2020-05-06
서울특별시 영등포구,국회대로37길 5,당산동4가 32-107,생활방범,4,,360도 전방면,30,Nov-18,02-2670-4067,37.52763867,126.8996284,2020-05-06
서울특별시 영등포구,버드나루로22길 7,당산동 378,생활방범,3,,360도 전방면,30,Nov-18,02-2670-4067,37.5309636,126.9084072,2020-05-06
서울특별시 영등포구,당산로49길 20,당산동6가 350-14,생활방범,6,,360도 전방면,30,Dec-14,02-2670-4067,37.53633468,126.9011262,2020-05-06
서울특별시 영등포구,당산로54길 11,당산동 374,생활방범,3,,360도 전방면,30,Sep-15,02-2670-4067,37.53490382,126.9045618,2020-05-06
서울특별시 영등포구,양평로 40,,생활방범,7,,360도 전방면,30,Sep-15,02-2670-4067,37.53430984,126.9017626,2020-05-06
서울특별시 영등포구,양평로 64,,생활방범,4,,360도 전방면,30,Jun-12,02-2670-4067,37.53490953,126.9001492,2020-05-06
서울특별시 영등포구,버드나루로18길 5,당산동 121-100,생활방범,2,,360도 전방면,30,Feb-11,02-2670-4067,37.52784932,126.908964,2020-05-06
서울특별시 영등포구,"당산로35길 3,삼거리앞",당산동4가 37 삼거리앞,생활방범,3,,360도 전방면,30,Feb-11,02-2670-4067,37.52880789,126.8972705,2020-05-06
서울특별시 영등포구,"당산로 187,서울당서초교 정문앞",당산동5가 5-3 서울당서초교 정문앞,생활방범,2,,360도 전방면,30,Feb-11,02-2670-4067,37.53105982,126.8994207,2020-05-06
서울특별시 영등포구,"버드나루로17길 8,사거리앞",당산동 121-227 사거리앞,생활방범,1,,360도 전방면,30,Sep-13,02-2670-4067,37.52735202,126.9076378,2020-05-06
서울특별시 영등포구,"당산로 187,당서초교 후문 인도앞",당산2동 5가 5-3 당서초등학교 후문,생활방범,2,,360도 전방면,30,Sep-13,02-2670-4067,37.53192941,126.9001971,2020-05-06
서울특별시 영등포구,"당산로44길 3,효성APT 203동 근처 횡단보도앞",당산동5가 11-34,생활방범,4,,360도 전방면,30,Sep-13,02-2670-4067,37.53186921,126.9004966,2020-05-06
서울특별시 영등포구,"버드나루로17길 16,사거리앞",당산동 173-39,생활방범,4,,360도 전방면,30,Sep-12,02-2670-4067,37.52723014,126.906498,2020-05-06
서울특별시 영등포구,당산동 121-171,당산동 121-171,교통단속,4,,360도 전방면,30,Sep-12,02-2670-4067,37.53095132,126.9069576,2020-05-06
서울특별시 영등포구,"버드나루로15길 2,사거리앞",당산동 121-132,교통단속,1,,360도 전방면,30,May-16,02-2670-4067,37.52641867,126.9087502,2020-05-06
서울특별시 영등포구,버드나루로 116,당산동 121-200,교통단속,3,,360도 전방면,30,Feb-17,02-2670-4067,37.52838443,126.908118,2020-05-06
서울특별시 영등포구,"선유동2로 40,사거리앞",당산동5가 7-54,교통단속,5,,360도 전방면,30,Dec-13,02-2670-4067,37.53230974,126.8965603,2020-05-06
서울특별시 영등포구,양평로 51,당산동5가 32-1,교통단속,4,,360도 전방면,30,Dec-13,02-2670-4067,37.53427749,126.9009519,2020-05-06
서울특별시 영등포구,"당산로44길 3,효성APT 203동 근처 횡단보도앞",당산동5가 11-34,교통단속,1,,360도 전방면,30,Jan-04,02-2670-4067,37.53192402,126.9004711,2020-05-06
서울특별시 영등포구,"당산로36길 7-1,당산삼성2차APT 출입구앞",당산동4가 32-143,교통단속,1,,360도 전방면,30,Jan-04,02-2670-4067,37.5281531,126.8985563,2020-05-06
서울특별시 영등포구,당산동4가 80,,교통단속,4,,360도 전방면,30,Jan-04,02-2670-4067,37.53077679,126.8992542,2020-05-06
서울특별시 영등포구,"대림로 106,대림어린이공원1",대림1동 870 대림어린이공원1,생활방범,1,,360도 전방면,30,Jan-04,02-2670-4067,37.49094017,126.9034515,2020-05-06
서울특별시 영등포구,"대림로 106,대림어린이공원2",대림1동 870,생활방범,1,,360도 전방면,30,Jan-04,02-2670-4067,37.49154669,126.9029496,2020-05-06
서울특별시 영등포구,디지털로75길 10,대림1동 900-16,생활방범,2,,360도 전방면,30,Jan-04,02-2670-4067,37.49560973,126.9053994,2020-05-06
서울특별시 영등포구,"신길로15가길 7,사거리앞",대림1동 906-65 사거리앞,생활방범,1,,360도 전방면,30,Jan-04,02-2670-4067,37.49720088,126.9058888,2020-05-06
서울특별시 영등포구,"대림로22길 20,삼거리앞",대림1동 851-4,생활방범,5,,360도 전방면,30,Jan-04,02-2670-4067,37.49443718,126.9028676,2020-05-06
서울특별시 영등포구,"대림로22길 11,삼거리앞",대림1동 851-62,생활방범,1,,360도 전방면,30,Jan-04,02-2670-4067,37.49395452,126.9021424,2020-05-06
서울특별시 영등포구,도림로48길 17,대림1동 700-21,생활방범,1,,360도 전방면,30,Jun-17,02-2670-4067,37.49395527,126.9011955,2020-05-06
서울특별시 영등포구,"대림로16길 10,삼거리앞",대림1동 858-1 삼거리앞,생활방범,1,,360도 전방면,30,Jan-04,02-2670-4067,37.49313475,126.9027001,2020-05-06
서울특별시 영등포구,"디지털로64길 7,삼거리앞",대림1동 877-19 삼거리앞,생활방범,1,,360도 전방면,30,Jan-04,02-2670-4067,37.49229828,126.9042649,2020-05-06
서울특별시 영등포구,디지털로64가길 9,대림1동 869-10,생활방범,3,,360도 전방면,30,Jan-04,02-2670-4067,37.49149431,126.904027,2020-05-06
서울특별시 영등포구,"대림로8길 9-6,사거리앞",대림1동 973-47 사거리앞,생활방범,1,,360도 전방면,30,Feb-11,02-2670-4067,37.49092242,126.9050056,2020-05-06
서울특별시 영등포구,"대림로8길 20,사거리앞",대림1동 976-62 사거리앞,생활방범,3,,360도 전방면,30,Feb-11,02-2670-4067,37.49112468,126.9057315,2020-05-06
서울특별시 영등포구,도림로54길 7-15,대림1동 758-16,생활방범,1,,360도 전방면,30,Feb-11,02-2670-4067,37.49603821,126.9034605,2020-05-06
서울특별시 영등포구,도림로54길 6,대림1동 845-6,생활방범,1,,360도 전방면,30,Jan-09,02-2670-4067,37.4957449,126.9024632,2020-05-06
서울특별시 영등포구,도림로48길 9-5,대림1동 700-27,생활방범,1,,360도 전방면,30,Nov-16,02-2670-4067,37.4945758,126.9010321,2020-05-06
서울특별시 영등포구,"대림로22길 15-9,삼거리앞",대림1동 851-43 삼거리앞,생활방범,1,,360도 전방면,30,Jan-10,02-2670-4067,37.4947171,126.9021337,2020-05-06
서울특별시 영등포구,디지털로64길 2-10,대림1동 868-18,생활방범,2,,360도 전방면,30,Jan-10,02-2670-4067,37.49224759,126.9036755,2020-05-06
서울특별시 영등포구,"디지털로71길 4-14,삼거리앞",대림1동 895-9 삼거리앞,생활방범,2,,360도 전방면,30,Sep-11,02-2670-4067,37.4951014,126.9048812,2020-05-06
서울특별시 영등포구,"도림로64길 17,사거리앞",대림1동 904-15,쓰레기단속,1,,360도 전방면,30,Sep-11,02-2670-4067,37.49631409,126.9055268,2020-05-06
서울특별시 영등포구,디지털로64가길 1,대림1동 877-40,쓰레기단속,1,,360도 전방면,30,Sep-11,02-2670-4067,37.4919519,126.9043462,2020-05-06
서울특별시 영등포구,대림로22길 2 공용주차장 입구,대림1동 834-1 공영주차장 입구 앞 공영주차장 간판,생활방범,1,,360도 전방면,30,Feb-06,02-2670-4067,37.49329559,126.9012798,2020-05-06
서울특별시 영등포구,대림로 154 우성APT 교차로 사거리앞,대림1동 700-1 우성APT 사거리 기영빌딩앞 가로등,생활방범,1,,360도 전방면,30,Feb-06,02-2670-4067,37.49476949,126.9000594,2020-05-06
서울특별시 영등포구,디지털로81길 13-1,대림1동 904-2,생활방범,1,,360도 전방면,30,Feb-06,02-2670-4067,37.49655047,126.9066317,2020-05-06
서울특별시 영등포구,"도림로64가길 14,사거리앞",대림1동 892-7 사거리앞,생활방범,5,,360도 전방면,30,Feb-06,02-2670-4067,37.49638702,126.9038438,2020-05-06
서울특별시 영등포구,도림로50길 11,대림1동 842-7,생활방범,3,,360도 전방면,30,Feb-06,02-2670-4067,37.49457065,126.901541,2020-05-06
서울특별시 영등포구,디지털로450,대림1동 911-48,생활방범,1,,360도 전방면,30,Feb-06,02-2670-4067,37.49542071,126.9067416,2020-05-06
서울특별시 영등포구,"신길로1길 2,대로변앞",대림1동 918-50 대로변앞,생활방범,1,,360도 전방면,30,Feb-06,02-2670-4067,37.49428208,126.9087544,2020-05-06
서울특별시 영등포구,"도림로64길 9,사거리앞",대림1동 906-29 사거리앞,생활방범,2,,360도 전방면,30,Feb-06,02-2670-4067,37.49713451,126.9046348,2020-05-06
서울특별시 영등포구,"디지털로66길 6-1,삼거리앞",대림1동 878-5 삼거리앞,생활방범,1,,360도 전방면,30,Feb-06,02-2670-4067,37.49264948,126.9046649,2020-05-06
서울특별시 영등포구,"시흥대로183길 9-2,삼거리앞",대림1동 976-27 삼거리앞,생활방범,1,,360도 전방면,30,Feb-06,02-2670-4067,37.49124424,126.9067118,2020-05-06
서울특별시 영등포구,"대림로10길 7,사거리앞",대림1동 871-7 사거리앞,생활방범,2,,360도 전방면,30,Feb-06,02-2670-4067,37.49097628,126.9039912,2020-05-06
서울특별시 영등포구,"신길로13길 12,사거리앞",신길동 440-11 사거리앞,생활방범,2,,360도 전방면,30,Jan-13,02-2670-4067,37.4972486,126.9070346,2020-05-06
서울특별시 영등포구,"도림로 180,대로변앞",대림1동 824-97 대로변앞,생활방범,1,,360도 전방면,30,Jan-13,02-2670-4067,37.49564721,126.9014035,2020-05-06
서울특별시 영등포구,"대림로22길 31,갑을명가APT 101동 정문 사거리앞",대림1동 885-1 갑을명가아파트,생활방범,2,,360도 전방면,30,Jul-13,02-2670-4067,37.49500339,126.9036261,2020-05-06
서울특별시 영등포구,"디지털로67길 2-7,오거리앞",대림1동 881-1 오거리앞,생활방범,4,,360도 전방면,30,Jan-14,02-2670-4067,37.4941329,126.9043488,2020-05-06
서울특별시 영등포구,"대림로 128-7,사거리앞",대림1동 835-12 사거리앞,생활방범,1,,360도 전방면,30,Sep-15,02-2670-4067,37.49335059,126.9020721,2020-05-06
서울특별시 영등포구,"시흥대로185길 5,대림중학교 출입구앞",대림1동 963-1 대림중학교 출입구앞,생활방범,1,,360도 전방면,30,Sep-15,02-2670-4067,37.49167092,126.9079425,2020-05-06
서울특별시 영등포구,"도림로64가길 6-1,사거리앞",대림1동 893-69 사거리앞,생활방범,1,,360도 전방면,30,Sep-15,02-2670-4067,37.49636527,126.9046273,2020-05-06
서울특별시 영등포구,"도림로64길 20,사거리앞",대림1동 904-20 사거리앞,생활방범,6,,360도 전방면,30,Sep-15,02-2670-4067,37.49625901,126.905532,2020-05-06
서울특별시 영등포구,대림로8나길 11,대림1동 975-30,생활방범,5,,360도 전방면,30,Sep-16,02-2670-4067,37.49026362,126.9063029,2020-05-06
