∞¸∏Æ±‚∞¸∏Ì,º“¿Á¡ˆµµ∑Œ∏Ì¡÷º“,º“¿Á¡ˆ¡ˆπ¯¡÷º“,º≥ƒ°∏Ò¿˚±∏∫–,ƒ´∏ﬁ∂Û¥Îºˆ,ƒ´∏ﬁ∂Û»≠º“ºˆ,√‘øµπÊ∏È¡§∫∏,∫∏∞¸¿œºˆ,º≥ƒ°≥‚ø˘,∞¸∏Æ±‚∞¸¿¸»≠π¯»£,¿ßµµ,∞Êµµ,µ•¿Ã≈Õ±‚¡ÿ¿œ¿⁄
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¿¸≥Û∑Œ3±Ê23,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æµø 274,ª˝»∞πÊπ¸,3,200,,,Dec-17,02-2127-4091,37.568416,127.054799,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ªÁ∞°¡§∑Œ4±Ê80,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æµø 195-29,ª˝»∞πÊπ¸,4,200,,,Dec-17,02-2127-4091,37.570907,127.055834,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æ∑Œ38±Ê58,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æµø 469-60,ª˝»∞πÊπ¸,3,200,,,Dec-17,02-2127-4091,37.571955,127.048543,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æ∑Œ 130,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æµø 198-109,ª˝»∞πÊπ¸,2,200,,,Dec-18,02-2127-4091,37.572771,127.055288,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æ∑Œ 152,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æµø 246-29,ª˝»∞πÊπ¸,3,200,,,Dec-18,02-2127-4091,37.572656,127.056848,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ √µ»£¥Î∑Œ67±Ê 37-2,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æµø 482-107,ª˝»∞πÊπ¸,4,200,,,Dec-19,02-2127-4091,37.57038828,127.0514272,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ º≠øÔΩ√∏≥¥Î∑Œ2±Ê 42,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æµø 469-47,ª˝»∞πÊπ¸,4,200,,,Dec-19,02-2127-4091,37.573026,127.048237,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¿¸≥Û∑Œ17,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æµø 490-5,ª˝»∞πÊπ¸,3,200,,,Dec-19,02-2127-4091,37.566543,127.056093,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æ∑Œ48±Ê 21,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æ2µø 38-11,ª˝»∞πÊπ¸,3,200,,,Jan-06,02-2127-4091,37.5698455,127.058969,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æ2µø 2-42,ª˝»∞πÊπ¸,3,200,,,Jan-07,02-2127-4091,37.56970586,127.0633043,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æ2µø 29-48,ª˝»∞πÊπ¸,3,200,,,Jan-08,02-2127-4091,37.5691996,127.057712,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æ∑Œ57±Ê 19,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æµø 75-17,ª˝»∞πÊπ¸,3,200,,,Jan-08,02-2127-4091,37.5695761,127.052225,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æ∑Œ51±Ê 19,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æ2µø 71-9,ª˝»∞πÊπ¸,3,200,,,Jan-09,02-2127-4091,37.566448,127.054636,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æ2µø 990-5,ª˝»∞πÊπ¸,2,200,,,Jan-09,02-2127-4091,37.5691996,127.057712,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ «—√µ∑Œ 145,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æ2µø 1-47,ª˝»∞πÊπ¸,3,200,,,Jan-09,02-2127-4091,37.5739635,127.066573,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æ∑Œ56±Ê 124,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æ2µø 21-71,ª˝»∞πÊπ¸,4,200,,,Jan-09,02-2127-4091,37.5678976,127.057948,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æ∑Œ52±Ê 34,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æ2µø 36-4,ª˝»∞πÊπ¸,4,200,,,Jan-09,02-2127-4091,37.5713324,127.0583736,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æµø60±Ê 6,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æ2µø 3-67,æÓ∏∞¿Ã∫∏»£,3,200,,,Jan-10,02-2127-4091,37.5723244,127.06527,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ «—√µ∑Œ 55,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æ2µø 12-18,ª˝»∞πÊπ¸,3,200,,,Jan-10,02-2127-4091,37.5670779,127.061904,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ «—√µ∑Œ15±Ê 20-7,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æ2µø 4-129,ª˝»∞πÊπ¸,3,200,,,Jan-10,02-2127-4091,37.5685803,127.062001,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¿¸≥Û∑Œ 70,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æ 2µø 50-37,ª˝»∞πÊπ¸,3,200,,,Jan-10,02-2127-4091,37.571,127.0575176,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ »≤π∞∑Œ17±Ê 27,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æ2µø 956-2,ª˝»∞πÊπ¸,3,200,,,Jan-10,02-2127-4091,37.565041,127.0592426,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ «—√µ∑Œ11≥™±Ê 11,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æ2µø 12-178,ª˝»∞πÊπ¸,3,200,,,Nov-11,02-2127-4091,37.5665698,127.060106,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æµø 14-40,ª˝»∞πÊπ¸,3,200,,,Nov-11,02-2127-4091,37.566862,127.059337,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æ2µø 43-3,ª˝»∞πÊπ¸,3,200,,,Nov-11,02-2127-4091,37.570416,127.058804,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ »≤π∞∑Œ15¥Ÿ±Ê 17,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æ2µø 954-25,ª˝»∞πÊπ¸,3,200,,,Nov-11,02-2127-4091,37.5656445,127.059146,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æ2µø 58-97,æÓ∏∞¿Ã∫∏»£,3,200,,,Jan-12,02-2127-4091,37.5719625,127.059635,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ «—√µ∑Œ11¥Ÿ±Ê 78,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æ2µø 27-3,æÓ∏∞¿Ã∫∏»£,3,200,,,Jan-12,02-2127-4091,37.5683742,127.059641,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æ∑Œ52±Ê 9,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æ2µø 58-36,ª˝»∞πÊπ¸,3,200,,,Jul-12,02-2127-4091,37.5723662,127.058594,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æ∑Œ48¥Ÿ±Ê 16,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æµø 32-36,ª˝»∞πÊπ¸,3,200,,,Feb-15,02-2127-4091,37.56944936,127.0583744,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¿¸≥Û∑Œ10±Ê 80,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æµø 80-2,ª˝»∞πÊπ¸,3,200,,,Feb-15,02-2127-4091,37.5759325,127.061775,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æ∑Œ56±Ê 32,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æµø 49-44,ª˝»∞πÊπ¸,3,200,,,Feb-16,02-2127-4091,37.57130949,127.0592418,2020/04/01
º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æ∑Œ52±Ê 53,º≠øÔ∆Ø∫∞Ω√ µø¥ÎπÆ±∏ ¥‰Ω ∏Æ2µø 43-23,ª˝»∞πÊπ¸,3,200,,,Jan-16,02-2127-4091,37.57060497,127.0582084,2020/04/01
